SuperWEB2(tm)

"Census 2022-Person-2Cv1"
"Scotland's Census 2022 - National Records of Scotland Table UV201 - Ethnic group  All people "
"Intermediate Zone - Data Zone 2011 by Ethnic Group by Individuals"
"Counting: Individuals"

Filters:
"Summation Options","Individuals"

"Ethnic Group","All People","White: Total","White: White Scottish","White: Other White British","White: White Irish","White: Gypsy/ Traveller","White: White Polish","Other White","Mixed or multiple ethnic group","Asian, Asian Scottish or Asian British: Total","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian","African: Total","African: African, African Scottish or African British","African: Other African","Caribbean or Black: Total","Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British","Caribbean or Black: Other Caribbean or Black","Other ethnic groups: Total","Other ethnic groups: Arab, Arab Scottish or Arab British","Other ethnic groups: Other ethnic group",
"Intermediate Zone - Data Zone 2011",
"S01006551",529,485,405,33,5,3,17,22,8,30,1,23,1,1,6,2,1,1,0,0,0,0,4,3,4,
"S01006552",927,820,667,85,7,2,24,38,13,39,3,20,3,6,7,24,6,17,0,0,0,0,28,25,5,
"S01006553",794,686,592,53,1,4,19,23,7,97,0,87,0,0,9,0,0,0,2,0,2,0,2,0,2,
"S01006554",805,655,541,57,7,0,20,32,7,106,27,46,0,14,19,23,0,23,4,2,0,2,7,3,4,
"S01006555",421,364,307,12,0,2,16,23,8,39,5,18,0,0,13,8,0,8,2,0,0,2,0,0,0,
"S01006556",742,682,570,25,2,5,42,38,4,54,0,45,6,0,2,1,0,1,0,0,0,0,1,0,1,
"S01006557",752,659,550,30,4,0,45,30,15,24,0,13,0,2,7,42,0,41,1,0,0,1,10,2,9,
"S01006558",563,500,376,59,14,0,7,41,12,32,2,10,2,3,15,6,0,6,1,1,0,0,16,7,8,
"S01006559",520,466,376,48,7,0,1,30,14,17,0,7,0,5,4,14,0,14,0,0,0,0,7,0,5,
"S01006560",964,845,658,96,14,0,5,67,19,63,12,33,4,7,10,14,2,12,0,0,0,0,21,9,12,
"S01006561",779,650,529,83,4,0,4,29,17,71,14,40,1,1,15,16,0,16,0,0,0,0,26,24,3,
"S01006562",934,757,621,66,10,2,6,49,37,84,23,24,3,17,16,20,0,20,1,0,0,1,36,26,10,
"S01006563",839,690,554,80,6,0,13,39,27,80,9,41,5,6,23,23,0,23,0,0,0,0,19,13,6,
"S01006564",830,644,481,53,9,0,29,70,20,100,13,34,18,32,7,34,1,30,2,0,0,2,30,17,13,
"S01006565",732,550,387,57,5,0,28,74,26,50,10,20,3,10,9,81,2,79,4,0,0,4,22,20,2,
"S01006566",771,650,445,92,14,0,13,89,28,50,1,27,7,6,13,26,3,23,7,0,0,7,13,8,5,
"S01006567",691,513,360,67,7,2,24,52,13,91,8,33,16,16,18,59,2,57,2,0,0,2,13,2,11,
"S01006568",880,680,445,89,15,1,25,105,21,78,5,16,3,7,48,64,5,59,3,0,0,3,34,19,15,
"S01006569",486,410,263,61,12,0,13,61,15,19,6,5,0,3,8,25,0,25,1,0,0,1,12,8,4,
"S01006570",700,617,488,77,4,0,10,39,8,38,2,16,3,3,11,22,2,19,4,0,0,4,13,9,4,
"S01006571",1012,859,570,158,8,3,18,94,23,43,5,26,4,11,4,61,3,58,2,1,0,1,20,7,13,
"S01006572",889,790,602,133,3,0,4,46,11,54,8,24,2,3,12,14,2,10,0,0,0,0,22,12,10,
"S01006573",711,644,456,125,14,0,1,52,21,26,1,12,0,3,10,12,0,12,1,0,0,1,2,3,1,
"S01006574",981,907,636,173,23,0,4,73,20,38,7,4,13,12,5,4,1,2,7,1,0,6,5,3,4,
"S01006575",878,780,578,107,8,0,3,81,24,42,0,16,7,9,9,16,0,16,2,0,0,2,15,3,12,
"S01006576",657,589,435,92,11,0,6,45,17,27,5,7,5,3,7,16,0,16,2,0,0,2,6,4,2,
"S01006577",745,646,465,105,11,1,15,49,28,28,2,14,2,5,3,36,3,33,0,0,0,0,7,0,7,
"S01006578",992,788,510,93,11,1,36,135,26,99,18,22,9,12,37,48,0,48,5,4,0,1,26,15,14,
"S01006579",821,631,458,61,11,1,11,86,25,60,1,34,0,7,22,52,8,47,10,0,0,10,40,20,20,
"S01006580",649,538,369,85,14,0,15,52,26,39,6,14,6,9,5,37,3,34,1,0,0,1,8,0,11,
"S01006581",843,776,624,99,7,0,0,45,27,22,4,4,0,2,14,9,1,6,0,0,0,0,10,2,5,
